studentID,grade,year,dropped,zip,ethnicity,sex,gpa,subsidizedLunches,employmentHours,hrsWifiPerWeek,sanctions,librarySwipesPerWeek,apClasses,athleticSeasons
12006,12thGrade,2012,0,15232,African American,F,1.89,None,0,4,detention,1,1,0
12008,12thGrade,2012,0,15206,African American,M,2.21,Partly,0,10,nothing,3,0,0
12009,12thGrade,2012,0,15206,African American,M,2.72,None,0,8,nothing,6,0,0
12010,12thGrade,2012,1,15206,White,M,1.67,None,0,4,nothing,6,2,0
12014,12thGrade,2012,0,15201,African American,M,2,Fully,0,8,nothing,5,0,0
12015,12thGrade,2012,1,15201,White,M,1.64,Fully,0,15,nothing,11,2,0
12016,12thGrade,2012,0,15201,African American,M,3.67,Fully,0,5,nothing,2,0,0
12017,12thGrade,2012,0,15206,African American,F,2.67,None,0,11,nothing,6,0,1
12018,12thGrade,2012,0,15201,African American,M,2.94,Fully,0,10,nothing,6,0,0
12019,12thGrade,2012,0,15206,White,M,2.45,Fully,10,6,nothing,15,3,0
12020,12thGrade,2012,0,15206,African American,M,2.64,Fully,10,10,nothing,3,0,0
12021,12thGrade,2012,0,15208,African American,F,3.37,None,0,12,detention,6,0,0
12022,12thGrade,2012,0,15206,African American,M,1.97,None,0,9,nothing,7,1,1
12024,12thGrade,2012,1,15206,African American,F,1.96,Partly,0,10,nothing,3,0,0
12026,12thGrade,2012,0,15201,African American,F,2.41,Fully,5,5,nothing,3,0,0
12027,12thGrade,2012,0,15232,African American,M,2.58,None,0,6,detention,3,2,0
12028,12thGrade,2012,0,15232,Asian,F,3.09,None,0,11,nothing,4,2,0
12029,12thGrade,2012,0,15201,African American,F,3.01,Partly,10,13,nothing,5,0,0
12032,12thGrade,2012,1,15224,African American,M,1.92,Fully,10,9,nothing,6,1,1
12033,12thGrade,2012,0,15208,White,M,2.08,None,0,5,nothing,12,4,0
12034,12thGrade,2012,0,15206,White,M,2.99,Fully,0,2,detention,10,4,0
12036,12thGrade,2012,0,15206,African American,F,3.3,None,0,5,detention,3,0,0
12038,12thGrade,2012,0,15206,African American,F,2.38,Partly,0,9,detention,3,0,0
12040,12thGrade,2012,0,15224,White,M,3.48,Fully,10,9,nothing,10,2,0
12042,12thGrade,2012,1,15206,African American,M,1.98,None,10,3,detention,2,0,0
12043,12thGrade,2012,0,15206,African American,F,2.99,None,0,4,nothing,2,0,0
12045,12thGrade,2012,0,15206,African American,M,2.58,Partly,10,5,nothing,1,0,0
12046,12thGrade,2012,0,15201,White,F,3.86,Fully,20,4,nothing,4,1,0
12048,12thGrade,2012,0,15206,White,M,2.68,Fully,10,9,nothing,15,4,0
12049,12thGrade,2012,0,15208,African American,F,2.28,None,0,10,nothing,6,1,0
12050,12thGrade,2012,0,15232,African American,M,2.82,None,0,10,nothing,3,1,0
12052,12thGrade,2012,0,15201,African American,M,2.88,Fully,0,5,nothing,5,0,0
12053,12thGrade,2012,0,15201,African American,M,2.82,Fully,0,7,detention,4,0,0
12055,12thGrade,2012,1,15206,African American,M,2.11,Fully,0,17,detention,3,0,0
12056,12thGrade,2012,0,15201,African American,F,2.7,Fully,0,3,nothing,4,0,0
12057,12thGrade,2012,0,15206,African American,M,2.55,Fully,0,9,detention,5,0,0
12058,12thGrade,2012,1,15206,African American,F,3.18,Fully,0,16,suspended,2,0,0
12059,12thGrade,2012,0,15224,African American,M,3.4,Fully,0,11,detention,4,0,0
12060,12thGrade,2012,0,15206,African American,M,2.52,None,0,3,detention,2,0,0
12061,12thGrade,2012,0,15206,African American,M,3.18,Partly,0,2,nothing,2,0,0
12062,12thGrade,2012,0,15206,African American,F,3.43,None,0,5,nothing,3,0,1
12063,12thGrade,2012,0,15232,White,M,4.35,None,5,5,suspended,8,5,1
12064,12thGrade,2012,0,15206,African American,M,3.38,None,0,17,nothing,6,0,0
12065,12thGrade,2012,0,15208,White,F,2.01,None,0,5,nothing,7,4,1
12066,12thGrade,2012,0,15208,Asian,F,2.65,None,0,5,nothing,3,1,1
12067,12thGrade,2012,0,15208,African American,F,1.89,None,0,10,nothing,9,1,1
12068,12thGrade,2012,0,15208,African American,M,2.03,None,0,4,detention,5,1,1
12069,12thGrade,2012,0,15206,African American,F,2.17,Partly,0,5,nothing,3,0,1
12070,12thGrade,2012,0,15232,White,M,1.99,None,10,4,nothing,6,4,0
12072,12thGrade,2012,0,15206,White,M,2.18,None,0,9,nothing,4,1,0
12073,12thGrade,2012,0,15206,White,M,3.47,Fully,10,17,nothing,10,2,0
12074,12thGrade,2012,0,15201,Hispanic,F,2.17,Fully,10,4,detention,5,0,0
12075,12thGrade,2012,0,15206,White,M,2.7,Fully,5,10,nothing,9,3,0
12077,12thGrade,2012,0,15201,African American,M,2.1,None,0,12,detention,5,0,0
12078,12thGrade,2012,0,15206,African American,F,3.82,Partly,0,4,nothing,6,0,0
12079,12thGrade,2012,0,15206,African American,F,2.25,None,0,3,detention,4,0,0
12080,12thGrade,2012,0,15206,African American,F,3.43,Fully,0,8,nothing,3,0,0
12081,12thGrade,2012,1,15206,African American,F,1.98,Partly,0,15,nothing,2,0,0
12082,12thGrade,2012,0,15206,African American,F,3.51,Fully,0,7,nothing,3,0,0
12085,12thGrade,2012,0,15206,White,F,3.28,None,0,4,nothing,10,3,1
12087,12thGrade,2012,0,15206,African American,F,3.26,Fully,0,1,nothing,8,0,1
12088,12thGrade,2012,0,15206,African American,F,2.51,Fully,0,6,nothing,2,0,0
12090,12thGrade,2012,1,15206,African American,F,1.8,None,0,6,nothing,5,0,0
12091,12thGrade,2012,1,15201,African American,M,2.74,Fully,5,12,detention,3,0,0
12093,12thGrade,2012,0,15206,African American,F,2.03,None,0,5,detention,5,0,0
12095,12thGrade,2012,0,15232,Other,F,2.8,None,0,4,nothing,6,3,0
12097,12thGrade,2012,0,15201,African American,M,2.51,Partly,0,1,nothing,2,0,0
12098,12thGrade,2012,0,15232,African American,F,3.36,None,0,9,nothing,3,2,0
12100,12thGrade,2012,0,15201,African American,M,2.76,Partly,10,2,nothing,9,1,1
12102,12thGrade,2012,0,15201,African American,F,2.41,Fully,10,4,nothing,4,1,1
12105,12thGrade,2012,0,15206,African American,F,2.96,Fully,0,6,nothing,3,0,1
12108,12thGrade,2012,0,15224,White,M,2.56,None,0,2,nothing,8,2,0
12109,12thGrade,2012,0,15232,African American,M,2.46,None,0,1,nothing,7,3,1
12110,12thGrade,2012,0,15201,African American,M,2.57,Partly,0,10,nothing,4,0,0
12111,12thGrade,2012,0,15206,African American,F,3.67,Fully,0,9,nothing,4,0,0
12112,12thGrade,2012,0,15208,African American,F,2.1,None,0,3,detention,1,0,0
12113,12thGrade,2012,0,15206,African American,F,3.23,None,0,4,detention,4,0,0
12117,12thGrade,2012,0,15224,White,M,2.55,Fully,0,3,nothing,3,2,0
12119,12thGrade,2012,0,15201,African American,M,2.18,Fully,0,4,nothing,4,0,1
12120,12thGrade,2012,0,15206,African American,M,3.19,Fully,5,5,nothing,2,0,0
12121,12thGrade,2012,0,15206,Other,M,2.89,None,0,6,nothing,6,1,0
12122,12thGrade,2012,1,15206,White,F,1.66,Fully,0,3,nothing,12,2,0
12123,12thGrade,2012,0,15206,African American,F,3.7,Fully,0,4,nothing,1,0,0
12124,12thGrade,2012,0,15232,White,M,2.52,None,5,10,nothing,9,4,0
12125,12thGrade,2012,0,15208,African American,M,3.65,None,0,3,nothing,3,1,1
12126,12thGrade,2012,0,15224,White,F,3.32,None,0,4,nothing,6,2,0
12127,12thGrade,2012,0,15206,White,F,3.92,Fully,0,6,nothing,13,3,1
12129,12thGrade,2012,0,15201,African American,M,3.09,Partly,0,7,nothing,3,0,0
12130,12thGrade,2012,0,15232,African American,F,3.59,None,0,10,nothing,5,3,1
12131,12thGrade,2012,0,15206,White,M,1.82,None,10,12,nothing,9,3,0
12135,12thGrade,2012,0,15206,White,F,2.96,Partly,0,3,nothing,12,3,1
12138,12thGrade,2012,0,15208,Hispanic,M,2.77,None,0,2,nothing,3,1,0
12139,12thGrade,2012,0,15206,African American,M,3.11,None,10,16,nothing,8,0,0
12140,12thGrade,2012,0,15232,African American,F,2.04,None,0,9,detention,5,2,1
12142,12thGrade,2012,0,15206,African American,F,2.75,None,0,16,detention,10,1,1
12143,12thGrade,2012,0,15208,African American,M,3.42,Partly,10,5,nothing,7,1,1
12144,12thGrade,2012,0,15232,Asian,M,2.95,None,0,9,nothing,10,5,0
12146,12thGrade,2012,0,15224,White,F,3.24,Partly,0,6,nothing,4,1,0
12148,12thGrade,2012,0,15232,African American,F,3.55,None,0,4,nothing,2,1,0
12150,12thGrade,2012,0,15232,African American,F,2.6,None,0,8,nothing,5,2,0
12151,12thGrade,2012,1,15224,Other,M,1.75,Fully,20,5,nothing,4,0,0
12152,12thGrade,2012,0,15232,White,F,2.15,None,0,11,nothing,9,5,0
12154,12thGrade,2012,1,15206,White,F,1.89,None,0,6,nothing,8,3,0
12155,12thGrade,2012,0,15208,African American,F,3.52,None,0,9,nothing,7,1,1
12156,12thGrade,2012,1,15206,White,F,2.02,None,0,2,nothing,6,2,0
12157,12thGrade,2012,1,15201,African American,F,1.78,None,5,6,nothing,4,0,0
12158,12thGrade,2012,0,15201,White,M,2.11,None,0,1,nothing,3,3,0
12160,12thGrade,2012,0,15206,African American,M,3.05,Fully,5,7,nothing,6,0,1
12161,12thGrade,2012,1,15206,African American,M,3.03,Fully,0,3,nothing,0,0,0
12163,12thGrade,2012,0,15232,African American,F,2.6,None,0,13,nothing,4,2,0
12168,12thGrade,2012,1,15206,African American,F,1.85,Fully,0,7,nothing,4,0,1
